"","ensembl_gene_id","external_gene_name","chromosome_name","transcript_biotype"
"19178","ENSDARG00000088073","fam110b","2","protein_coding"
"19179","ENSDARG00000069956","pdlim2","8","protein_coding"
"19180","ENSDARG00000068130","spaca9","5","protein_coding"
"19181","ENSDARG00000044718","VAV2","21","protein_coding"
"19182","ENSDARG00000016318","med7","14","protein_coding"
"19183","ENSDARG00000040224","krcp","7","protein_coding"
"19184","ENSDARG00000031875","trpa1b","24","protein_coding"
"19185","ENSDARG00000079274","prss59.1","16","protein_coding"
"19186","ENSDARG00000037432","","23","protein_coding"
"19187","ENSDARG00000030961","ak8","5","protein_coding"
"19188","ENSDARG00000104835","","13","protein_coding"
"19189","ENSDARG00000089225","ro60","2","protein_coding"
"19190","ENSDARG00000075048","","14","protein_coding"
"19191","ENSDARG00000115029","","4","protein_coding"
"19192","ENSDARG00000020301","os9","6","protein_coding"
"19193","ENSDARG00000017565","itk","14","protein_coding"
"19194","ENSDARG00000092610","lamp1b","9","protein_coding"
"19195","ENSDARG00000018257","NCOA1","20","protein_coding"
"19196","ENSDARG00000079264","BAIAP3","3","protein_coding"
"19197","ENSDARG00000041257","smtnl1","14","protein_coding"
"19198","ENSDARG00000061017","spns2","5","protein_coding"
"19199","ENSDARG00000101155","","5","protein_coding"
"19200","ENSDARG00000035339","","5","protein_coding"
"19201","ENSDARG00000070266","spock3","1","protein_coding"
"19202","ENSDARG00000056557","copb1","7","protein_coding"
"19203","ENSDARG00000087599","","14","protein_coding"
"19204","ENSDARG00000092039","si:dkey-70p6.1","8","protein_coding"
"19205","ENSDARG00000074509","tacr2","13","protein_coding"
"19206","ENSDARG00000098087","","4","protein_coding"
"19207","ENSDARG00000010481","bzw1a","22","protein_coding"
"19208","ENSDARG00000020053","nkd1","7","protein_coding"
"19209","ENSDARG00000021143","rtn1b","20","protein_coding"
"19210","ENSDARG00000063031","RAD54L2","22","protein_coding"
"19211","ENSDARG00000040799","sst1.1","15","protein_coding"
"19212","ENSDARG00000042525","ebf2","5","protein_coding"
"19213","ENSDARG00000103966","","3","protein_coding"
"19214","ENSDARG00000093484","","9","protein_coding"
"19215","ENSDARG00000007654","nsfa","3","protein_coding"
"19216","ENSDARG00000013460","","3","protein_coding"
"19217","ENSDARG00000026198","enoph1","10","protein_coding"
"19218","ENSDARG00000075016","","20","protein_coding"
"19219","ENSDARG00000092452","","9","protein_coding"
"19220","ENSDARG00000005364","","2","protein_coding"
"19221","ENSDARG00000016447","ythdf1","8","protein_coding"
"19222","ENSDARG00000054060","","21","protein_coding"
"19223","ENSDARG00000007912","","21","protein_coding"
"19224","ENSDARG00000099749","ube2d2l","14","protein_coding"
"19225","ENSDARG00000060596","prkaa1","5","protein_coding"
"19226","ENSDARG00000044114","cyb561d2","22","protein_coding"
"19227","ENSDARG00000097187","","2","protein_coding"
"19228","ENSDARG00000042961","nkain5","8","protein_coding"
"19229","ENSDARG00000045799","","25","protein_coding"
"19230","ENSDARG00000071413","mier2","22","protein_coding"
"19231","ENSDARG00000079059","","2","protein_coding"
"19232","ENSDARG00000013477","gata1a","11","protein_coding"
"19233","ENSDARG00000074588","mettl18","13","protein_coding"
"19234","ENSDARG00000004427","dpy30","1","protein_coding"
"19235","ENSDARG00000073872","tpst1","15","protein_coding"
"19236","ENSDARG00000057053","sgms1a","17","protein_coding"
"19237","ENSDARG00000005423","pgam1a","13","protein_coding"
"19238","ENSDARG00000030064","plekha1a","17","protein_coding"
"19239","ENSDARG00000091969","","5","protein_coding"
"19240","ENSDARG00000078981","FAXC","16","protein_coding"
"19241","ENSDARG00000069790","dynll2a","15","protein_coding"
"19242","ENSDARG00000035577","cds2","5","protein_coding"
"19243","ENSDARG00000094212","","4","protein_coding"
"19244","ENSDARG00000014849","pih1d2","15","protein_coding"
"19245","ENSDARG00000044655","st14b","21","protein_coding"
"19246","ENSDARG00000092723","","23","protein_coding"
"19247","ENSDARG00000057049","kcnk18","17","protein_coding"
"19248","ENSDARG00000041107","cftr","18","protein_coding"
"19249","ENSDARG00000013312","","25","protein_coding"
"19250","ENSDARG00000003931","cndp2","19","protein_coding"
"19251","ENSDARG00000021380","ppm1db","5","protein_coding"
"19252","ENSDARG00000089936","selenow2b","3","protein_coding"
"19253","ENSDARG00000102279","ZMIZ1","12","protein_coding"
"19254","ENSDARG00000089892","","25","protein_coding"
"19255","ENSDARG00000068726","MASP1","15","protein_coding"
"19256","ENSDARG00000035954","tdp2b","19","protein_coding"
"19257","ENSDARG00000061773","neurl1ab","17","protein_coding"
"19258","ENSDARG00000020887","armc1l","23","protein_coding"
"19259","ENSDARG00000088870","","4","protein_coding"
"19260","ENSDARG00000078825","","20","protein_coding"
"19261","ENSDARG00000054867","hibch","9","protein_coding"
"19262","ENSDARG00000057691","srsf1a","15","protein_coding"
"19263","ENSDARG00000035957","gmnn","19","protein_coding"
"19264","ENSDARG00000032619","tob1a","3","protein_coding"
"19265","ENSDARG00000060394","mtfr2","23","protein_coding"
"19266","ENSDARG00000062429","trim109","16","protein_coding"
"19267","ENSDARG00000079011","","13","protein_coding"
"19268","ENSDARG00000019706","zar1","20","protein_coding"
"19269","ENSDARG00000042552","cacna1sb","8","protein_coding"
"19270","ENSDARG00000069446","dbh","10","protein_coding"
"19271","ENSDARG00000036721","tomm40l","19","protein_coding"
"19272","ENSDARG00000112369","","4","protein_coding"
"19273","ENSDARG00000034227","","15","protein_coding"
"19274","ENSDARG00000090872","si:dkey-276j7.1","6","protein_coding"
"19275","ENSDARG00000041952","prox2","17","protein_coding"
"19276","ENSDARG00000092728","si:dkey-266f7.4","19","protein_coding"
"19277","ENSDARG00000105615","si:ch211-196f2.6","7","protein_coding"
"19278","ENSDARG00000099021","setdb1b","16","protein_coding"
"19279","ENSDARG00000068923","umodl1","10","protein_coding"
"19280","ENSDARG00000026098","si:dkey-13a21.4","11","protein_coding"
"19281","ENSDARG00000045175","pofut2","9","protein_coding"
"19282","ENSDARG00000093405","casp6a","3","protein_coding"
"19283","ENSDARG00000018643","igf2a","7","protein_coding"
"19284","ENSDARG00000074428","hhat","17","protein_coding"
"19285","ENSDARG00000104609","CREBBP","22","protein_coding"
"19286","ENSDARG00000012247","def6a","8","protein_coding"
"19287","ENSDARG00000061352","bcl11aa","13","protein_coding"
"19288","ENSDARG00000061728","acot13","19","protein_coding"
"19289","ENSDARG00000061257","C3H17orf75","3","protein_coding"
"19290","ENSDARG00000040736","crygm7","9","protein_coding"
"19291","ENSDARG00000061723","tmem64","19","protein_coding"
"19292","ENSDARG00000059610","gpr146","3","protein_coding"
"19293","ENSDARG00000062221","","5","protein_coding"
"19294","ENSDARG00000055753","suv39h1b","8","protein_coding"
"19295","ENSDARG00000030269","grtp1b","9","protein_coding"
"19296","ENSDARG00000014966","ccdc82","21","protein_coding"
"19297","ENSDARG00000093406","C19H6orf62","19","protein_coding"
"19298","ENSDARG00000057321","tut1","12","protein_coding"
"19299","ENSDARG00000058102","sardh","10","protein_coding"
"19300","ENSDARG00000044142","acss1","17","protein_coding"
"19301","ENSDARG00000074661","gper1","3","protein_coding"
"19302","ENSDARG00000090817","","16","protein_coding"
"19303","ENSDARG00000020143","pah","4","protein_coding"
"19304","ENSDARG00000044182","stau1","6","protein_coding"
"19305","ENSDARG00000068274","ankrd67","18","protein_coding"
"19306","ENSDARG00000052855","CTSO","14","protein_coding"
"19307","ENSDARG00000099643","","4","protein_coding"
"19308","ENSDARG00000091135","","20","protein_coding"
"19309","ENSDARG00000020504","h3f3a","3","protein_coding"
"19310","ENSDARG00000015427","hdac1","19","protein_coding"
"19311","ENSDARG00000061468","ncaph","5","protein_coding"
"19312","ENSDARG00000071429","tdo2a","14","protein_coding"
"19313","ENSDARG00000055757","tmem9","8","protein_coding"
"19314","ENSDARG00000025089","LOXL4","13","protein_coding"
"19315","ENSDARG00000092322","","1","protein_coding"
"19316","ENSDARG00000019564","asap2b","20","protein_coding"
"19317","ENSDARG00000061758","","17","protein_coding"
"19318","ENSDARG00000032296","pomp","21","protein_coding"
"19319","ENSDARG00000103176","nr5a1a","8","protein_coding"
"19320","ENSDARG00000037838","UNKL","3","protein_coding"
"19321","ENSDARG00000009266","uevld","25","protein_coding"
"19322","ENSDARG00000076183","FRRS1","2","protein_coding"
"19323","ENSDARG00000092807","","23","protein_coding"
"19324","ENSDARG00000093878","","22","protein_coding"
"19325","ENSDARG00000099560","lyrm5a","4","protein_coding"
"19326","ENSDARG00000009131","slc10a4","20","protein_coding"
"19327","ENSDARG00000010181","asap2a","17","protein_coding"
"19328","ENSDARG00000028896","plpp2b","22","protein_coding"
"19329","ENSDARG00000073909","","25","protein_coding"
"19330","ENSDARG00000075557","APCDD1L","6","protein_coding"
"19331","ENSDARG00000087120","SLC5A8","4","protein_coding"
"19332","ENSDARG00000029388","si:dkey-90m5.4","20","protein_coding"
"19333","ENSDARG00000070435","vapb","6","protein_coding"
"19334","ENSDARG00000052405","pak6b","20","protein_coding"
"19335","ENSDARG00000060768","ankib1a","19","protein_coding"
"19336","ENSDARG00000053685","gtf2a2","7","protein_coding"
"19337","ENSDARG00000002754","pdcd2l","25","protein_coding"
"19338","ENSDARG00000086254","","24","protein_coding"
"19339","ENSDARG00000087717","","15","protein_coding"
"19340","ENSDARG00000016514","gtf2h2","5","protein_coding"
"19341","ENSDARG00000016122","ptrhd1","20","protein_coding"
"19342","ENSDARG00000020465","ewsr1b","5","protein_coding"
"19343","ENSDARG00000100434","","4","protein_coding"
"19344","ENSDARG00000105820","or92a1","21","protein_coding"
"19345","ENSDARG00000097600","","3","protein_coding"
"19346","ENSDARG00000017562","banp","25","protein_coding"
"19347","ENSDARG00000011496","ppm1bb","12","protein_coding"
"19348","ENSDARG00000094515","or92a4","21","protein_coding"
"19349","ENSDARG00000117113","zgc:173607","4","protein_coding"
"19350","ENSDARG00000076402","nat16l","7","protein_coding"
"19351","ENSDARG00000009953","med14","9","protein_coding"
"19352","ENSDARG00000045854","fgf23","4","protein_coding"
"19353","ENSDARG00000005115","calub","18","protein_coding"
"19354","ENSDARG00000032114","slain2","20","protein_coding"
"19355","ENSDARG00000090637","myh6","20","protein_coding"
"19356","ENSDARG00000105762","","21","protein_coding"
"19357","ENSDARG00000037836","IGFALS","3","protein_coding"
"19358","ENSDARG00000034714","","23","protein_coding"
"19359","ENSDARG00000079880","tas2r200.1","8","protein_coding"
"19360","ENSDARG00000077352","B4GALNT1","6","protein_coding"
"19361","ENSDARG00000027572","as3mt","1","protein_coding"
"19362","ENSDARG00000096656","","1","protein_coding"
"19363","ENSDARG00000074066","tas2r200.2","8","protein_coding"
"19364","ENSDARG00000042873","slc25a27","20","protein_coding"
"19365","ENSDARG00000011088","","7","protein_coding"
"19366","ENSDARG00000016903","wdr5","21","protein_coding"
"19367","ENSDARG00000061345","wwp2","25","protein_coding"
"19368","ENSDARG00000073742","prss59.2","16","protein_coding"
"19369","ENSDARG00000088680","","24","protein_coding"
"19370","ENSDARG00000069230","zgc:153738","8","protein_coding"
"19371","ENSDARG00000068438","gucd1","8","protein_coding"
"19372","ENSDARG00000057352","slc25a29","20","protein_coding"
"19373","ENSDARG00000092764","","9","protein_coding"
"19374","ENSDARG00000041895","cad","20","protein_coding"
"19375","ENSDARG00000101707","","3","protein_coding"
"19376","ENSDARG00000013800","snrpd3","8","protein_coding"
"19377","ENSDARG00000104285","armh3","22","protein_coding"
"19378","ENSDARG00000042876","abracl","20","protein_coding"
"19379","ENSDARG00000009594","nr1d2b","19","protein_coding"
"19380","ENSDARG00000042440","p2rx7","8","protein_coding"
"19381","ENSDARG00000059923","slc25a47a","20","protein_coding"
"19382","ENSDARG00000091557","MMP19","11","protein_coding"
"19383","ENSDARG00000098158","CPXM1","14","protein_coding"
"19384","ENSDARG00000036252","rras2","7","protein_coding"
"19385","ENSDARG00000079295","CACNA1B","21","protein_coding"
"19386","ENSDARG00000014230","dlst","17","protein_coding"
"19387","ENSDARG00000061908","mfsd12a","2","protein_coding"
"19388","ENSDARG00000094660","","9","protein_coding"
"19389","ENSDARG00000070368","casp6b.2","3","protein_coding"
"19390","ENSDARG00000040735","crygm6","9","protein_coding"
"19391","ENSDARG00000105719","or92a2","21","protein_coding"
"19392","ENSDARG00000045851","","4","protein_coding"
"19393","ENSDARG00000097530","","17","protein_coding"
"19394","ENSDARG00000052642","shisa9b","3","protein_coding"
"19395","ENSDARG00000105835","or92a3","21","protein_coding"
"19396","ENSDARG00000011521","upb1","8","protein_coding"
"19397","ENSDARG00000096543","","1","protein_coding"
"19398","ENSDARG00000006527","brd3a","21","protein_coding"
"19399","ENSDARG00000061405","eva1a","17","protein_coding"
"19400","ENSDARG00000010160","rps15a","3","protein_coding"
"19401","ENSDARG00000015110","slc18a2","17","protein_coding"
"19402","ENSDARG00000091631","","16","protein_coding"
"19403","ENSDARG00000032951","NRBP2","2","protein_coding"
"19404","ENSDARG00000042452","p2rx4b","8","protein_coding"
"19405","ENSDARG00000057949","slc43a3b","14","protein_coding"
"19406","ENSDARG00000102262","","4","protein_coding"
"19407","ENSDARG00000089582","","4","protein_coding"
"19408","ENSDARG00000054433","yipf6","5","protein_coding"
"19409","ENSDARG00000046098","ebp","23","protein_coding"
"19410","ENSDARG00000045853","rad51ap1","4","protein_coding"
"19411","ENSDARG00000092873","atp5mj","20","protein_coding"
"19412","ENSDARG00000077264","wdr43","17","protein_coding"
"19413","ENSDARG00000036505","syt4","7","protein_coding"
"19414","ENSDARG00000104205","cfhl3","22","protein_coding"
"19415","ENSDARG00000104914","","7","protein_coding"
"19416","ENSDARG00000100081","DNAI1","21","protein_coding"
"19417","ENSDARG00000026680","slc25a14","21","protein_coding"
"19418","ENSDARG00000052842","ppifb","12","protein_coding"
"19419","ENSDARG00000032458","MARK2","7","protein_coding"
"19420","ENSDARG00000054879","six3b","12","protein_coding"
"19421","ENSDARG00000042857","","22","protein_coding"
"19422","ENSDARG00000004636","ccdc9","15","protein_coding"
"19423","ENSDARG00000039929","ckmt2b","5","protein_coding"
"19424","ENSDARG00000077428","CAMTA1","23","protein_coding"
"19425","ENSDARG00000075188","adamts10","8","protein_coding"
"19426","ENSDARG00000093318","si:dkey-57a22.15","9","protein_coding"
"19427","ENSDARG00000089765","","1","protein_coding"
"19428","ENSDARG00000097398","","17","protein_coding"
"19429","ENSDARG00000054055","ostn","15","protein_coding"
"19430","ENSDARG00000034910","","1","protein_coding"
"19431","ENSDARG00000092954","mrpl34","2","protein_coding"
"19432","ENSDARG00000002600","pcsk1","21","protein_coding"
"19433","ENSDARG00000074663","samd8","17","protein_coding"
"19434","ENSDARG00000094163","","25","protein_coding"
"19435","ENSDARG00000011851","map2k5","7","protein_coding"
"19436","ENSDARG00000101843","","4","protein_coding"
"19437","ENSDARG00000074531","spag9a","3","protein_coding"
"19438","ENSDARG00000113713","","4","protein_coding"
"19439","ENSDARG00000026577","cdk2","11","protein_coding"
"19440","ENSDARG00000056277","","21","protein_coding"
"19441","ENSDARG00000103172","","4","protein_coding"
"19442","ENSDARG00000031200","ppp2r5cb","20","protein_coding"
"19443","ENSDARG00000031348","mc5ra","19","protein_coding"
"19444","ENSDARG00000035338","tppp2","5","protein_coding"
"19445","ENSDARG00000102463","COX18","14","protein_coding"
"19446","ENSDARG00000097743","","6","protein_coding"
"19447","ENSDARG00000044380","rbmx2","21","protein_coding"
"19448","ENSDARG00000005026","tshz1","19","protein_coding"
"19449","ENSDARG00000102029","","7","protein_coding"
"19450","ENSDARG00000043285","","10","protein_coding"
"19451","ENSDARG00000079553","cd83","16","protein_coding"
"19452","ENSDARG00000054878","six2b","12","protein_coding"
"19453","ENSDARG00000061844","","12","protein_coding"
"19454","ENSDARG00000069397","zswim8","13","protein_coding"
"19455","ENSDARG00000009771","ppme1","21","protein_coding"
"19456","ENSDARG00000045592","tnni2a.1","25","protein_coding"
"19457","ENSDARG00000057661","aldoca","15","protein_coding"
"19458","ENSDARG00000087198","cthrc1a","19","protein_coding"
"19459","ENSDARG00000061048","ranbp9","2","protein_coding"
"19460","ENSDARG00000021547","vrk2","13","protein_coding"
"19461","ENSDARG00000026183","polr2eb","22","protein_coding"
"19462","ENSDARG00000069855","pnisr","16","protein_coding"
"19463","ENSDARG00000037495","rtn4rl2b","14","protein_coding"
"19464","ENSDARG00000068719","","15","protein_coding"
"19465","ENSDARG00000098305","","4","protein_coding"
"19466","ENSDARG00000038228","selenow2a","3","protein_coding"
"19467","ENSDARG00000104210","","22","protein_coding"
"19468","ENSDARG00000005841","tnni2a.2","25","protein_coding"
"19469","ENSDARG00000010144","plppr3a","2","protein_coding"
"19470","ENSDARG00000016421","crygm1","9","protein_coding"
"19471","ENSDARG00000030750","","24","protein_coding"
"19472","ENSDARG00000042689","zbtb37","22","protein_coding"
"19473","ENSDARG00000007885","fancl","13","protein_coding"
"19474","ENSDARG00000068431","si:ch211-195h23.3","2","protein_coding"
"19475","ENSDARG00000014465","","6","protein_coding"
"19476","ENSDARG00000061471","SEMA5B","9","protein_coding"
"19477","ENSDARG00000096507","","1","protein_coding"
"19478","ENSDARG00000076867","","3","protein_coding"
"19479","ENSDARG00000019651","zgc:162239","21","protein_coding"
"19480","ENSDARG00000076443","","7","protein_coding"
"19481","ENSDARG00000043287","atg101","10","protein_coding"
"19482","ENSDARG00000088847","","4","protein_coding"
"19483","ENSDARG00000002720","utp15","18","protein_coding"
"19484","ENSDARG00000076265","ANO8","2","protein_coding"
"19485","ENSDARG00000006427","fabp2","1","protein_coding"
"19486","ENSDARG00000068478","gpx4a","22","protein_coding"
"19487","ENSDARG00000103079","","4","protein_coding"
"19488","ENSDARG00000093337","","2","protein_coding"
"19489","ENSDARG00000114558","","4","protein_coding"
"19490","ENSDARG00000020363","snrnp25","3","protein_coding"
"19491","ENSDARG00000100366","si:dkey-102m7.3","14","protein_coding"
"19492","ENSDARG00000003307","STX16","6","protein_coding"
"19493","ENSDARG00000069857","coq3","16","protein_coding"
"19494","ENSDARG00000042877","heca","20","protein_coding"
"19495","ENSDARG00000039452","hk1","13","protein_coding"
"19496","ENSDARG00000068919","rad51c","10","protein_coding"
"19497","ENSDARG00000055124","ccnl1a","18","protein_coding"
"19498","ENSDARG00000038386","ascl1a","4","protein_coding"
"19499","ENSDARG00000013752","tnni2a.3","25","protein_coding"
"19500","ENSDARG00000057062","fignl2","23","protein_coding"
"19501","ENSDARG00000037835","polr3k","3","protein_coding"
"19502","ENSDARG00000071694","ndc80","12","protein_coding"
"19503","ENSDARG00000002479","ercc6l","5","protein_coding"
"19504","ENSDARG00000099789","","4","protein_coding"
"19505","ENSDARG00000044381","siah2l","21","protein_coding"
"19506","ENSDARG00000002197","pygl","13","protein_coding"
"19507","ENSDARG00000039082","zgc:123010","13","protein_coding"
"19508","ENSDARG00000094521","","6","protein_coding"
"19509","ENSDARG00000098783","polr2b","14","protein_coding"
"19510","ENSDARG00000099347","","4","protein_coding"
"19511","ENSDARG00000105529","","7","protein_coding"
"19512","ENSDARG00000076118","cdip1","3","protein_coding"
"19513","ENSDARG00000003022","","21","protein_coding"
"19514","ENSDARG00000076066","marchf6","2","protein_coding"
"19515","ENSDARG00000017274","opn1sw2","11","protein_coding"
"19516","ENSDARG00000007818","palm1b","2","protein_coding"
"19517","ENSDARG00000013307","rpl19","3","protein_coding"
"19518","ENSDARG00000097700","","15","protein_coding"
"19519","ENSDARG00000101160","apoa4a","19","protein_coding"
"19520","ENSDARG00000098979","","4","protein_coding"
"19521","ENSDARG00000087224","","1","protein_coding"
"19522","ENSDARG00000011673","","22","protein_coding"
"19523","ENSDARG00000024746","hsp90aa1.2","20","protein_coding"
"19524","ENSDARG00000015990","hcfc1a","11","protein_coding"
"19525","ENSDARG00000087176","","15","protein_coding"
"19526","ENSDARG00000059473","KANK4","6","protein_coding"
"19527","ENSDARG00000062165","TUB","7","protein_coding"
"19528","ENSDARG00000034893","rarab","3","protein_coding"
"19529","ENSDARG00000102934","noa1","14","protein_coding"
"19530","ENSDARG00000042690","s1pr1","22","protein_coding"
"19531","ENSDARG00000086703","","23","protein_coding"
"19532","ENSDARG00000062030","GPR17","6","protein_coding"
"19533","ENSDARG00000076701","B4GALNT4","7","protein_coding"
"19534","ENSDARG00000033840","fat3a","15","protein_coding"
"19535","ENSDARG00000095586","","25","protein_coding"
"19536","ENSDARG00000104138","igfbp7","14","protein_coding"
"19537","ENSDARG00000033889","spty2d1","25","protein_coding"
"19538","ENSDARG00000078675","DOCK7","6","protein_coding"
"19539","ENSDARG00000013771","ctss2.2","16","protein_coding"
"19540","ENSDARG00000040738","zgc:153846","9","protein_coding"
"19541","ENSDARG00000105549","RIC3","7","protein_coding"
"19542","ENSDARG00000078733","CNNM2","1","protein_coding"
"19543","ENSDARG00000078180","sc:d0202","3","protein_coding"
"19544","ENSDARG00000059751","ABTB2","7","protein_coding"
"19545","ENSDARG00000034504","lmo1","7","protein_coding"
"19546","ENSDARG00000061248","xylt1","3","protein_coding"
"19547","ENSDARG00000040253","onecutl","16","protein_coding"
"19548","ENSDARG00000000472","cntn2","11","protein_coding"
"19549","ENSDARG00000103811","agla","2","protein_coding"
"19550","ENSDARG00000102551","jazf1a","19","protein_coding"
"19551","ENSDARG00000093303","ifitm1","5","protein_coding"
"19552","ENSDARG00000078824","si:ch211-66e2.3","3","protein_coding"
"19553","ENSDARG00000100652","znf1147","4","protein_coding"
"19554","ENSDARG00000015460","racgap1","23","protein_coding"
"19555","ENSDARG00000093680","","2","protein_coding"
"19556","ENSDARG00000093702","","23","protein_coding"
"19557","ENSDARG00000006200","eif4g1a","2","protein_coding"
"19558","ENSDARG00000011581","","15","protein_coding"
"19559","ENSDARG00000101497","","4","protein_coding"
"19560","ENSDARG00000091579","","3","protein_coding"
"19561","ENSDARG00000053650","foxb1b","7","protein_coding"
"19562","ENSDARG00000028850","btr16","15","protein_coding"
"19563","ENSDARG00000052764","chrnb3a","1","protein_coding"
"19564","ENSDARG00000008155","sms","21","protein_coding"
"19565","ENSDARG00000096224","","8","protein_coding"
"19566","ENSDARG00000101508","nr6a1a","8","protein_coding"
"19567","ENSDARG00000036096","smad3a","7","protein_coding"
"19568","ENSDARG00000020594","TXLNB","20","protein_coding"
"19569","ENSDARG00000042484","tle2a","22","protein_coding"
"19570","ENSDARG00000020326","TYK2","3","protein_coding"
"19571","ENSDARG00000009273","ppm1da","15","protein_coding"
"19572","ENSDARG00000012871","npepl1","6","protein_coding"
"19573","ENSDARG00000095113","","15","protein_coding"
"19574","ENSDARG00000010270","fezf1","25","protein_coding"
"19575","ENSDARG00000002013","grb10a","19","protein_coding"
"19576","ENSDARG00000100142","","4","protein_coding"
"19577","ENSDARG00000051756","pdhx","25","protein_coding"
"19578","ENSDARG00000078550","zgc:194839","8","protein_coding"
"19579","ENSDARG00000002632","anxa11b","12","protein_coding"
"19580","ENSDARG00000099837","","4","protein_coding"
"19581","ENSDARG00000075677","mrpl17","16","protein_coding"
"19582","ENSDARG00000017811","","23","protein_coding"
"19583","ENSDARG00000101235","","7","protein_coding"
"19584","ENSDARG00000078152","si:dkey-56i24.1","8","protein_coding"
"19585","ENSDARG00000075159","MELTF","6","protein_coding"
"19586","ENSDARG00000105607","","7","protein_coding"
"19587","ENSDARG00000003219","bin2a","23","protein_coding"
"19588","ENSDARG00000028862","","6","protein_coding"
"19589","ENSDARG00000104890","","4","protein_coding"
"19590","ENSDARG00000010478","hsp90aa1.1","20","protein_coding"
"19591","ENSDARG00000005453","foxp2","4","protein_coding"
"19592","ENSDARG00000042508","ubr3","9","protein_coding"
"19593","ENSDARG00000056803","ap1s1","7","protein_coding"
"19594","ENSDARG00000089791","slc25a32a","19","protein_coding"
"19595","ENSDARG00000070809","znf516","19","protein_coding"
"19596","ENSDARG00000037178","zic2b","1","protein_coding"
"19597","ENSDARG00000079570","rspo2","16","protein_coding"
"19598","ENSDARG00000098892","","4","protein_coding"
"19599","ENSDARG00000032237","anapc4","20","protein_coding"
"19600","ENSDARG00000044365","angptl3","6","protein_coding"
"19601","ENSDARG00000021787","","16","protein_coding"
"19602","ENSDARG00000100476","","5","protein_coding"
"19603","ENSDARG00000027322","lin7c","7","protein_coding"
"19604","ENSDARG00000069017","elnb","21","protein_coding"
"19605","ENSDARG00000055120","ctsba","17","protein_coding"
"19606","ENSDARG00000009142","ppp1r13bb","20","protein_coding"
"19607","ENSDARG00000077870","taf9","21","protein_coding"
"19608","ENSDARG00000075798","USP38","1","protein_coding"
"19609","ENSDARG00000037324","KLHL17","23","protein_coding"
"19610","ENSDARG00000056414","usp1","6","protein_coding"
"19611","ENSDARG00000070109","ncapg","1","protein_coding"
"19612","ENSDARG00000027612","gatad1","19","protein_coding"
"19613","ENSDARG00000009941","erc1a","25","protein_coding"
"19614","ENSDARG00000006497","rtn1a","13","protein_coding"
"19615","ENSDARG00000095783","","6","protein_coding"
"19616","ENSDARG00000079024","RPS6KL1","17","protein_coding"
"19617","ENSDARG00000100006","","4","protein_coding"
"19618","ENSDARG00000021352","gria1a","14","protein_coding"
"19619","ENSDARG00000006577","","8","protein_coding"
"19620","ENSDARG00000056666","sp8b","16","protein_coding"
"19621","ENSDARG00000037476","sorbs3","8","protein_coding"
"19622","ENSDARG00000088708","NGFR","3","protein_coding"
"19623","ENSDARG00000078674","hspb9","3","protein_coding"
"19624","ENSDARG00000060150","psmd11a","3","protein_coding"
"19625","ENSDARG00000069984","","19","protein_coding"
"19626","ENSDARG00000033971","prrx1a","2","protein_coding"
"19627","ENSDARG00000070098","","1","protein_coding"
"19628","ENSDARG00000032319","mest","4","protein_coding"
"19629","ENSDARG00000041248","","20","protein_coding"
"19630","ENSDARG00000090468","","4","protein_coding"
"19631","ENSDARG00000097653","","15","protein_coding"
"19632","ENSDARG00000100242","dph5","22","protein_coding"
"19633","ENSDARG00000074791","ALDH3A2","15","protein_coding"
"19634","ENSDARG00000040991","CTTNBP2","18","protein_coding"
"19635","ENSDARG00000053833","mtnr1ba","15","protein_coding"
"19636","ENSDARG00000075444","","17","protein_coding"
"19637","ENSDARG00000013453","tdrd9","13","protein_coding"
"19638","ENSDARG00000099281","","4","protein_coding"
"19639","ENSDARG00000088989","","20","protein_coding"
"19640","ENSDARG00000101029","","19","protein_coding"
"19641","ENSDARG00000007175","recql","4","protein_coding"
"19642","ENSDARG00000073902","","1","protein_coding"
"19643","ENSDARG00000007279","yipf5","21","protein_coding"
"19644","ENSDARG00000074223","mdfic","4","protein_coding"
"19645","ENSDARG00000029069","tnni2a.4","25","protein_coding"
"19646","ENSDARG00000096299","","19","protein_coding"
"19647","ENSDARG00000070694","NXPH3","3","protein_coding"
"19648","ENSDARG00000104952","PSMD4","19","protein_coding"
"19649","ENSDARG00000098288","tax1bp1a","19","protein_coding"
"19650","ENSDARG00000101295","psmd4a","19","protein_coding"
"19651","ENSDARG00000097855","","9","protein_coding"
"19652","ENSDARG00000086956","","20","protein_coding"
"19653","ENSDARG00000041960","","17","protein_coding"
"19654","ENSDARG00000053918","srfa","22","protein_coding"
"19655","ENSDARG00000053449","pyya","3","protein_coding"
"19656","ENSDARG00000043081","ctsz","6","protein_coding"
"19657","ENSDARG00000014003","stard8","5","protein_coding"
"19658","ENSDARG00000006251","ell2","21","protein_coding"
"19659","ENSDARG00000102774","znf687a","16","protein_coding"
"19660","ENSDARG00000043445","","1","protein_coding"
"19661","ENSDARG00000102906","hibadha","19","protein_coding"
"19662","ENSDARG00000079897","","6","protein_coding"
"19663","ENSDARG00000097317","","6","protein_coding"
"19664","ENSDARG00000104887","","4","protein_coding"
"19665","ENSDARG00000056998","kirrel1b","2","protein_coding"
"19666","ENSDARG00000102004","apoea","19","protein_coding"
"19667","ENSDARG00000068755","exosc8","10","protein_coding"
"19668","ENSDARG00000035459","spns3","5","protein_coding"
